freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.511e+00,4.302e+02,1.522e+02,5.919e+02
1.6,2.529e+01,2.765e+02,9.663e+01,3.984e+02
3.1,2.704e+01,5.272e+01,1.606e+01,9.582e+01
4.7,3.243e+01,5.867e+02,1.843e+01,6.376e+02
6.2,4.732e+01,1.498e+03,1.970e+01,1.565e+03
7.8,5.219e+01,1.532e+03,1.934e+01,1.604e+03
9.4,3.295e+01,2.376e+03,1.810e+01,2.427e+03
10.9,2.818e+01,3.549e+03,2.034e+01,3.598e+03
12.5,3.433e+01,4.989e+03,2.200e+01,5.045e+03
14.0,4.458e+01,6.694e+03,2.157e+01,6.760e+03
15.6,3.788e+01,8.781e+03,2.362e+01,8.843e+03
17.2,3.102e+01,1.127e+04,1.875e+01,1.132e+04
18.7,3.219e+01,1.423e+04,1.838e+01,1.428e+04
20.3,3.022e+01,1.798e+04,2.066e+01,1.803e+04
21.8,2.825e+01,2.281e+04,2.715e+01,2.287e+04
23.4,3.440e+01,2.902e+04,3.891e+01,2.909e+04
25.0,3.768e+01,3.738e+04,7.711e+01,3.750e+04
26.5,4.024e+01,4.917e+04,1.690e+02,4.937e+04
28.1,5.254e+01,6.678e+04,3.893e+02,6.722e+04
29.6,8.606e+01,9.304e+04,1.094e+03,9.422e+04
31.2,1.409e+02,1.281e+05,2.710e+03,1.309e+05
32.8,1.197e+02,1.780e+05,7.984e+03,1.861e+05
34.3,2.317e+02,2.289e+05,3.032e+04,2.595e+05
35.9,4.004e+02,1.979e+05,5.443e+04,2.528e+05
37.5,2.886e+02,1.185e+05,5.315e+04,1.720e+05
39.0,3.075e+02,1.022e+05,1.075e+05,2.100e+05
40.6,1.921e+02,1.528e+05,1.512e+05,3.042e+05
42.1,1.066e+02,2.257e+05,1.710e+05,3.969e+05
43.7,2.087e+02,2.929e+05,1.918e+05,4.848e+05
45.3,5.601e+02,4.262e+05,2.512e+05,6.780e+05
46.8,1.363e+03,7.445e+05,3.952e+05,1.141e+06
48.4,2.441e+03,1.240e+06,5.873e+05,1.830e+06
49.9,2.632e+03,1.427e+06,5.747e+05,2.004e+06
51.5,4.071e+03,1.113e+06,3.897e+05,1.507e+06
53.1,6.807e+03,8.287e+05,2.941e+05,1.130e+06
54.6,6.433e+03,6.403e+05,2.422e+05,8.889e+05
56.2,4.185e+03,4.732e+05,1.796e+05,6.570e+05
57.7,2.949e+03,3.543e+05,1.332e+05,4.905e+05
59.3,1.534e+03,2.840e+05,1.072e+05,3.927e+05
60.9,8.376e+02,2.363e+05,9.203e+04,3.291e+05
62.4,7.527e+02,2.018e+05,8.278e+04,2.854e+05
64.0,8.307e+02,1.692e+05,7.344e+04,2.435e+05
65.5,1.333e+03,1.371e+05,5.896e+04,1.974e+05
67.1,1.047e+03,1.144e+05,4.608e+04,1.615e+05
68.7,6.366e+02,9.542e+04,3.915e+04,1.352e+05
70.2,1.403e+03,7.970e+04,3.540e+04,1.165e+05
71.8,2.895e+03,6.906e+04,3.092e+04,1.029e+05
73.3,4.305e+03,6.322e+04,2.624e+04,9.376e+04
74.9,5.136e+03,5.727e+04,2.259e+04,8.500e+04
76.5,5.067e+03,5.139e+04,2.257e+04,7.903e+04
78.0,4.665e+03,4.604e+04,2.502e+04,7.573e+04
79.6,4.797e+03,4.592e+04,2.447e+04,7.518e+04
81.1,6.261e+03,5.419e+04,2.138e+04,8.183e+04
