freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.289e+01,3.984e+02,1.471e+02,5.584e+02
1.6,2.644e+01,2.295e+02,9.086e+01,3.468e+02
3.1,2.622e+01,3.067e+01,1.443e+01,7.132e+01
4.7,2.951e+01,5.165e+02,1.511e+01,5.611e+02
6.2,3.949e+01,1.405e+03,1.719e+01,1.462e+03
7.8,4.575e+01,1.451e+03,1.771e+01,1.514e+03
9.3,3.338e+01,2.198e+03,1.809e+01,2.250e+03
10.9,2.617e+01,3.305e+03,1.899e+01,3.351e+03
12.4,2.939e+01,4.720e+03,2.062e+01,4.770e+03
14.0,3.055e+01,6.439e+03,1.900e+01,6.488e+03
15.6,2.912e+01,8.356e+03,1.890e+01,8.404e+03
17.1,2.775e+01,1.070e+04,1.924e+01,1.075e+04
18.7,2.840e+01,1.361e+04,1.789e+01,1.366e+04
20.2,3.073e+01,1.676e+04,1.681e+01,1.681e+04
21.8,3.171e+01,2.052e+04,1.736e+01,2.057e+04
23.3,2.898e+01,2.550e+04,1.934e+01,2.555e+04
24.9,2.808e+01,3.221e+04,2.774e+01,3.227e+04
26.4,3.301e+01,4.135e+04,5.640e+01,4.144e+04
28.0,3.358e+01,5.385e+04,1.493e+02,5.404e+04
29.6,3.498e+01,7.180e+04,3.879e+02,7.222e+04
31.1,3.664e+01,9.874e+04,1.147e+03,9.992e+04
32.7,5.131e+01,1.393e+05,4.234e+03,1.436e+05
34.2,2.190e+02,1.845e+05,1.420e+04,1.989e+05
35.8,6.313e+02,1.741e+05,2.512e+04,1.998e+05
37.3,9.210e+02,1.203e+05,3.557e+04,1.568e+05
38.9,1.015e+03,1.022e+05,7.462e+04,1.779e+05
40.4,1.214e+03,1.028e+05,8.915e+04,1.932e+05
42.0,1.635e+03,1.234e+05,1.005e+05,2.256e+05
43.6,2.021e+03,1.557e+05,1.278e+05,2.855e+05
45.1,2.672e+03,2.011e+05,1.505e+05,3.543e+05
46.7,5.147e+03,3.355e+05,2.220e+05,5.626e+05
48.2,1.016e+04,6.919e+05,3.871e+05,1.089e+06
49.8,1.844e+04,1.247e+06,5.762e+05,1.841e+06
51.3,2.968e+04,1.437e+06,5.930e+05,2.059e+06
52.9,3.687e+04,1.252e+06,4.961e+05,1.785e+06
54.4,3.541e+04,9.974e+05,4.012e+05,1.434e+06
56.0,3.315e+04,7.836e+05,3.298e+05,1.147e+06
57.6,2.640e+04,6.225e+05,2.688e+05,9.176e+05
59.1,1.985e+04,4.710e+05,2.046e+05,6.954e+05
60.7,1.341e+04,3.641e+05,1.590e+05,5.365e+05
62.2,7.104e+03,3.004e+05,1.332e+05,4.407e+05
63.8,3.464e+03,2.447e+05,1.102e+05,3.584e+05
65.3,2.440e+03,1.975e+05,9.006e+04,2.900e+05
66.9,2.726e+03,1.678e+05,7.490e+04,2.454e+05
68.4,3.609e+03,1.483e+05,6.245e+04,2.143e+05
70.0,3.982e+03,1.304e+05,5.125e+04,1.856e+05
71.6,3.293e+03,1.107e+05,4.157e+04,1.556e+05
73.1,2.273e+03,9.342e+04,3.447e+04,1.302e+05
74.7,2.005e+03,7.939e+04,2.966e+04,1.111e+05
76.2,2.315e+03,6.924e+04,2.697e+04,9.852e+04
77.8,2.380e+03,6.079e+04,2.525e+04,8.841e+04
79.3,2.302e+03,5.703e+04,2.282e+04,8.215e+04
80.9,3.101e+03,6.547e+04,1.938e+04,8.795e+04
82.4,3.929e+03,8.580e+04,1.467e+04,1.044e+05
84.0,3.171e+03,1.007e+05,1.098e+04,1.148e+05
85.6,1.807e+03,9.817e+04,1.009e+04,1.101e+05
87.1,8.966e+02,8.475e+04,1.034e+04,9.599e+04
88.7,6.776e+02,7.365e+04,1.116e+04,8.549e+04
90.2,6.841e+02,6.609e+04,1.127e+04,7.805e+04
91.8,1.090e+03,6.781e+04,9.859e+03,7.876e+04
93.3,1.726e+03,7.458e+04,7.365e+03,8.367e+04
94.9,2.511e+03,7.437e+04,6.076e+03,8.296e+04
96.4,2.941e+03,6.502e+04,7.416e+03,7.538e+04
98.0,2.791e+03,5.065e+04,1.125e+04,6.469e+04
99.6,3.443e+03,4.090e+04,1.696e+04,6.130e+04
101.1,5.929e+03,4.634e+04,1.765e+04,6.991e+04
102.7,7.791e+03,5.449e+04,1.315e+04,7.543e+04
104.2,8.057e+03,4.762e+04,1.523e+04,7.090e+04
105.8,8.641e+03,4.097e+04,1.944e+04,6.905e+04
107.3,9.294e+03,4.473e+04,1.990e+04,7.392e+04
108.9,7.785e+03,5.972e+04,1.864e+04,8.615e+04
110.4,5.298e+03,7.028e+04,1.412e+04,8.969e+04
112.0,3.583e+03,6.134e+04,8.035e+03,7.296e+04
113.6,2.908e+03,5.395e+04,3.918e+03,6.078e+04
115.1,3.035e+03,6.487e+04,1.695e+03,6.960e+04
116.7,3.479e+03,6.796e+04,8.782e+02,7.232e+04
118.2,3.912e+03,6.264e+04,9.024e+02,6.746e+04
119.8,4.435e+03,5.788e+04,1.004e+03,6.332e+04
121.3,4.738e+03,5.122e+04,1.082e+03,5.704e+04
122.9,4.669e+03,4.997e+04,1.020e+03,5.566e+04
124.4,5.938e+03,5.574e+04,1.409e+03,6.309e+04
