freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.321e+02,5.495e+01,2.650e+01,5.136e+02
1.6,2.658e+02,7.182e+01,4.613e+01,3.837e+02
3.1,5.866e+01,5.861e+01,3.852e+01,1.558e+02
4.7,3.929e+02,9.463e+01,4.310e+01,5.306e+02
6.2,1.339e+03,9.731e+01,4.696e+01,1.483e+03
7.8,1.890e+03,6.560e+01,4.557e+01,2.001e+03
9.4,2.435e+03,8.636e+01,3.661e+01,2.558e+03
10.9,3.615e+03,7.849e+01,4.223e+01,3.736e+03
12.5,4.996e+03,8.995e+01,4.329e+01,5.130e+03
14.1,6.203e+03,1.088e+02,4.167e+01,6.353e+03
15.6,7.571e+03,1.134e+02,5.030e+01,7.735e+03
17.2,9.687e+03,1.095e+02,5.309e+01,9.850e+03
18.7,1.242e+04,1.123e+02,5.932e+01,1.259e+04
20.3,1.520e+04,9.837e+01,4.968e+01,1.535e+04
21.9,1.809e+04,1.017e+02,3.855e+01,1.823e+04
23.4,2.154e+04,9.238e+01,4.090e+01,2.167e+04
25.0,2.599e+04,9.994e+01,4.752e+01,2.614e+04
26.5,3.130e+04,1.267e+02,4.261e+01,3.147e+04
28.1,3.888e+04,1.466e+02,3.718e+01,3.907e+04
29.7,4.843e+04,1.750e+02,5.093e+01,4.865e+04
31.2,4.583e+04,1.899e+02,5.972e+01,4.608e+04
32.8,4.125e+04,1.805e+02,5.923e+01,4.149e+04
34.3,4.824e+04,2.045e+02,6.675e+01,4.851e+04
35.9,6.070e+04,2.982e+02,8.605e+01,6.108e+04
37.5,7.435e+04,4.329e+02,1.483e+02,7.493e+04
39.0,9.110e+04,6.695e+02,2.950e+02,9.206e+04
40.6,1.149e+05,1.300e+03,5.755e+02,1.168e+05
42.2,1.517e+05,2.607e+03,9.128e+02,1.552e+05
43.7,2.037e+05,4.643e+03,1.648e+03,2.100e+05
45.3,2.549e+05,6.900e+03,3.968e+03,2.658e+05
46.8,3.371e+05,1.205e+04,9.337e+03,3.584e+05
48.4,4.713e+05,2.287e+04,1.647e+04,5.106e+05
50.0,7.089e+05,3.968e+04,2.190e+04,7.705e+05
51.5,1.146e+06,6.362e+04,2.449e+04,1.234e+06
53.1,1.693e+06,9.535e+04,2.328e+04,1.812e+06
54.6,1.708e+06,1.181e+05,2.385e+04,1.850e+06
56.2,1.260e+06,1.213e+05,2.774e+04,1.409e+06
57.8,9.790e+05,1.145e+05,2.944e+04,1.123e+06
59.3,7.204e+05,9.140e+04,2.382e+04,8.357e+05
60.9,4.273e+05,6.460e+04,1.804e+04,5.099e+05
62.5,3.109e+05,5.243e+04,1.562e+04,3.789e+05
64.0,2.799e+05,4.770e+04,1.426e+04,3.419e+05
65.6,2.348e+05,3.986e+04,1.207e+04,2.868e+05
67.1,1.899e+05,3.023e+04,8.635e+03,2.288e+05
68.7,1.775e+05,2.599e+04,6.895e+03,2.104e+05
70.3,1.708e+05,2.666e+04,6.293e+03,2.037e+05
71.8,1.573e+05,2.847e+04,5.377e+03,1.911e+05
73.4,1.438e+05,3.088e+04,4.992e+03,1.797e+05
74.9,1.289e+05,3.138e+04,4.725e+03,1.650e+05
76.5,1.152e+05,2.988e+04,3.847e+03,1.489e+05
78.1,1.002e+05,2.774e+04,2.945e+03,1.308e+05
79.6,8.784e+04,3.144e+04,1.544e+03,1.208e+05
81.2,8.397e+04,4.362e+04,1.043e+03,1.286e+05
82.8,7.888e+04,4.954e+04,2.271e+03,1.307e+05
84.3,7.383e+04,4.293e+04,3.896e+03,1.207e+05
85.9,6.947e+04,3.192e+04,5.171e+03,1.066e+05
87.4,6.514e+04,2.568e+04,5.102e+03,9.592e+04
89.0,5.899e+04,2.326e+04,4.098e+03,8.635e+04
90.6,5.105e+04,2.022e+04,3.039e+03,7.431e+04
92.1,4.690e+04,1.878e+04,3.011e+03,6.868e+04
93.7,4.243e+04,1.788e+04,3.085e+03,6.340e+04
95.2,3.721e+04,1.568e+04,2.819e+03,5.570e+04
96.8,3.176e+04,1.320e+04,2.356e+03,4.732e+04
98.4,2.567e+04,1.028e+04,1.703e+03,3.765e+04
99.9,2.026e+04,9.060e+03,1.111e+03,3.043e+04
101.5,1.525e+04,9.859e+03,8.344e+02,2.595e+04
103.0,1.199e+04,1.069e+04,1.119e+03,2.380e+04
104.6,1.103e+04,1.442e+04,1.658e+03,2.711e+04
106.2,9.330e+03,1.836e+04,2.230e+03,2.992e+04
107.7,8.117e+03,2.062e+04,2.486e+03,3.122e+04
109.3,7.824e+03,2.222e+04,2.126e+03,3.217e+04
110.9,8.041e+03,2.720e+04,1.970e+03,3.721e+04
112.4,8.731e+03,3.498e+04,3.081e+03,4.679e+04
