freq,psd_x,psd_y,psd_z,psd_xyz
162.0,1.114e+04,2.218e+03,6.673e+03,2.003e+04
163.5,7.370e+03,2.808e+03,4.585e+03,1.476e+04
165.1,5.064e+03,2.899e+03,3.359e+03,1.132e+04
166.6,5.700e+03,2.843e+03,3.683e+03,1.223e+04
168.2,7.172e+03,3.762e+03,4.806e+03,1.574e+04
169.7,6.651e+03,4.360e+03,4.754e+03,1.576e+04
171.3,5.123e+03,4.370e+03,3.945e+03,1.344e+04
172.9,5.650e+03,4.710e+03,4.233e+03,1.459e+04
174.4,7.223e+03,4.807e+03,4.872e+03,1.690e+04
176.0,8.063e+03,4.853e+03,5.210e+03,1.813e+04
177.5,8.315e+03,5.342e+03,5.270e+03,1.893e+04
179.1,8.123e+03,5.870e+03,5.007e+03,1.900e+04
180.6,6.453e+03,5.762e+03,4.135e+03,1.635e+04
182.2,4.557e+03,5.566e+03,3.323e+03,1.345e+04
183.8,3.330e+03,6.113e+03,2.982e+03,1.243e+04
185.3,2.452e+03,6.558e+03,2.607e+03,1.162e+04
186.9,2.493e+03,6.969e+03,2.635e+03,1.210e+04
188.4,2.742e+03,7.485e+03,2.618e+03,1.284e+04
190.0,2.689e+03,7.685e+03,2.363e+03,1.274e+04
191.5,2.527e+03,7.974e+03,2.089e+03,1.259e+04
193.1,2.445e+03,8.399e+03,1.865e+03,1.271e+04
194.7,2.407e+03,8.916e+03,1.655e+03,1.298e+04
196.2,2.573e+03,9.532e+03,1.516e+03,1.362e+04
197.8,2.521e+03,9.634e+03,1.272e+03,1.343e+04
199.3,2.094e+03,8.819e+03,8.949e+02,1.181e+04
