freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.893e+02,6.252e+01,2.298e+01,4.748e+02
1.6,2.544e+02,9.157e+01,3.952e+01,3.855e+02
3.1,5.713e+01,8.337e+01,3.640e+01,1.769e+02
4.7,3.990e+02,9.621e+01,3.085e+01,5.261e+02
6.2,1.354e+03,1.096e+02,3.145e+01,1.495e+03
7.8,1.978e+03,9.059e+01,3.145e+01,2.100e+03
9.3,2.386e+03,8.414e+01,2.948e+01,2.500e+03
10.9,3.447e+03,8.572e+01,3.016e+01,3.563e+03
12.4,4.677e+03,8.205e+01,3.084e+01,4.790e+03
14.0,5.757e+03,8.830e+01,3.459e+01,5.880e+03
15.6,7.279e+03,8.765e+01,3.804e+01,7.405e+03
17.1,9.226e+03,7.521e+01,3.225e+01,9.333e+03
18.7,1.165e+04,8.373e+01,2.860e+01,1.177e+04
20.2,1.430e+04,8.097e+01,3.203e+01,1.441e+04
21.8,1.703e+04,8.773e+01,3.086e+01,1.715e+04
23.3,2.026e+04,8.559e+01,2.750e+01,2.037e+04
24.9,2.422e+04,8.936e+01,2.666e+01,2.433e+04
26.5,2.845e+04,1.068e+02,2.955e+01,2.858e+04
28.0,3.425e+04,1.300e+02,2.855e+01,3.440e+04
29.6,4.336e+04,1.444e+02,3.140e+01,4.354e+04
31.1,5.027e+04,1.915e+02,3.728e+01,5.050e+04
32.7,4.548e+04,1.789e+02,3.261e+01,4.570e+04
34.2,4.291e+04,1.744e+02,2.970e+01,4.312e+04
35.8,4.771e+04,2.138e+02,4.311e+01,4.797e+04
37.3,5.658e+04,3.035e+02,6.921e+01,5.695e+04
38.9,6.928e+04,3.744e+02,8.543e+01,6.974e+04
40.5,8.922e+04,6.996e+02,1.277e+02,9.004e+04
42.0,1.205e+05,1.707e+03,2.983e+02,1.225e+05
43.6,1.626e+05,3.085e+03,6.907e+02,1.664e+05
45.1,1.996e+05,3.873e+03,1.779e+03,2.053e+05
46.7,2.597e+05,5.749e+03,5.239e+03,2.707e+05
48.2,3.595e+05,1.063e+04,1.251e+04,3.827e+05
