freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.182e+02,7.042e+01,4.010e+01,5.287e+02
1.6,3.041e+02,1.082e+02,1.015e+02,5.138e+02
3.1,9.371e+01,8.322e+01,1.036e+02,2.806e+02
4.7,4.337e+02,7.438e+01,1.139e+02,6.220e+02
6.2,1.430e+03,9.323e+01,1.031e+02,1.626e+03
7.8,1.959e+03,1.034e+02,1.095e+02,2.172e+03
9.3,2.468e+03,8.696e+01,1.055e+02,2.660e+03
10.9,3.574e+03,8.678e+01,9.711e+01,3.757e+03
12.4,4.824e+03,9.459e+01,8.922e+01,5.008e+03
14.0,5.977e+03,8.998e+01,7.957e+01,6.146e+03
15.5,7.403e+03,8.431e+01,8.103e+01,7.569e+03
17.1,9.390e+03,8.098e+01,8.487e+01,9.555e+03
18.6,1.191e+04,8.809e+01,7.741e+01,1.207e+04
20.2,1.467e+04,9.831e+01,8.391e+01,1.485e+04
21.7,1.766e+04,9.151e+01,6.914e+01,1.782e+04
23.3,2.089e+04,9.473e+01,9.709e+01,2.109e+04
24.8,2.488e+04,1.039e+02,1.141e+02,2.510e+04
26.4,3.009e+04,1.134e+02,1.051e+02,3.031e+04
27.9,3.738e+04,1.390e+02,1.068e+02,3.763e+04
29.5,4.886e+04,2.020e+02,1.083e+02,4.917e+04
31.0,5.556e+04,2.748e+02,1.028e+02,5.594e+04
32.6,4.702e+04,2.542e+02,8.462e+01,4.736e+04
34.1,4.315e+04,2.672e+02,8.400e+01,4.350e+04
35.7,4.926e+04,4.342e+02,1.264e+02,4.982e+04
37.2,6.089e+04,6.837e+02,1.900e+02,6.176e+04
38.8,7.706e+04,9.211e+02,2.965e+02,7.828e+04
40.3,1.004e+05,1.476e+03,4.088e+02,1.023e+05
41.9,1.322e+05,2.434e+03,6.617e+02,1.353e+05
43.4,1.717e+05,3.741e+03,1.471e+03,1.769e+05
45.0,2.105e+05,4.875e+03,3.635e+03,2.190e+05
46.5,2.756e+05,7.907e+03,7.477e+03,2.910e+05
48.1,3.720e+05,1.383e+04,1.389e+04,3.997e+05
49.6,5.125e+05,2.559e+04,2.116e+04,5.592e+05
51.2,7.206e+05,4.588e+04,2.674e+04,7.933e+05
52.7,1.081e+06,7.394e+04,2.793e+04,1.183e+06
54.3,1.598e+06,1.181e+05,2.938e+04,1.746e+06
55.8,1.713e+06,1.367e+05,3.168e+04,1.881e+06
57.4,1.526e+06,1.169e+05,2.759e+04,1.671e+06
