freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.059e+02,6.815e+01,2.380e+01,4.978e+02
1.6,2.793e+02,1.260e+02,3.231e+01,4.376e+02
3.1,8.512e+01,1.157e+02,2.345e+01,2.243e+02
4.7,4.291e+02,1.309e+02,2.928e+01,5.893e+02
6.2,1.440e+03,1.346e+02,3.044e+01,1.605e+03
7.8,1.948e+03,1.308e+02,2.689e+01,2.105e+03
9.3,2.422e+03,1.230e+02,2.891e+01,2.574e+03
10.9,3.435e+03,1.145e+02,2.797e+01,3.578e+03
12.5,4.745e+03,1.285e+02,2.768e+01,4.901e+03
14.0,6.062e+03,1.314e+02,2.740e+01,6.221e+03
15.6,7.499e+03,1.241e+02,2.740e+01,7.650e+03
17.1,9.526e+03,1.064e+02,2.565e+01,9.658e+03
18.7,1.198e+04,9.979e+01,2.407e+01,1.210e+04
20.2,1.452e+04,1.169e+02,2.513e+01,1.466e+04
21.8,1.729e+04,1.095e+02,2.918e+01,1.743e+04
23.3,2.044e+04,1.280e+02,3.424e+01,2.060e+04
24.9,2.442e+04,1.464e+02,3.150e+01,2.460e+04
26.5,2.920e+04,1.497e+02,2.536e+01,2.938e+04
28.0,3.567e+04,1.501e+02,2.422e+01,3.585e+04
29.6,4.591e+04,1.740e+02,2.595e+01,4.611e+04
31.1,5.599e+04,2.185e+02,2.714e+01,5.623e+04
32.7,4.919e+04,2.020e+02,3.268e+01,4.942e+04
34.2,4.241e+04,1.752e+02,2.705e+01,4.261e+04
35.8,4.678e+04,2.592e+02,3.170e+01,4.707e+04
37.4,5.655e+04,4.071e+02,5.058e+01,5.701e+04
38.9,6.990e+04,4.434e+02,5.752e+01,7.040e+04
40.5,9.112e+04,7.712e+02,6.625e+01,9.196e+04
42.0,1.235e+05,1.742e+03,2.147e+02,1.255e+05
43.6,1.678e+05,3.185e+03,6.272e+02,1.716e+05
45.1,2.080e+05,4.337e+03,1.594e+03,2.140e+05
46.7,2.695e+05,6.421e+03,4.172e+03,2.801e+05
48.2,3.728e+05,1.184e+04,1.001e+04,3.947e+05
49.8,5.271e+05,2.168e+04,1.517e+04,5.640e+05
51.4,7.721e+05,4.121e+04,1.648e+04,8.298e+05
52.9,1.155e+06,8.005e+04,1.796e+04,1.253e+06
54.5,1.579e+06,1.427e+05,2.602e+04,1.748e+06
56.0,1.690e+06,1.866e+05,3.822e+04,1.914e+06
57.6,1.534e+06,1.755e+05,4.039e+04,1.750e+06
59.1,1.210e+06,1.372e+05,3.148e+04,1.378e+06
60.7,7.834e+05,9.249e+04,2.078e+04,8.966e+05
62.3,5.105e+05,6.993e+04,1.583e+04,5.963e+05
63.8,3.373e+05,5.683e+04,1.403e+04,4.081e+05
65.4,2.519e+05,4.462e+04,1.248e+04,3.090e+05
66.9,2.370e+05,4.431e+04,1.328e+04,2.946e+05
68.5,2.311e+05,4.932e+04,1.467e+04,2.951e+05
70.0,2.131e+05,5.209e+04,1.494e+04,2.801e+05
71.6,1.878e+05,5.184e+04,1.401e+04,2.537e+05
73.1,1.658e+05,4.970e+04,1.255e+04,2.281e+05
74.7,1.456e+05,4.714e+04,1.142e+04,2.041e+05
76.3,1.242e+05,4.370e+04,1.036e+04,1.783e+05
