freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.629e+01,4.180e+02,1.506e+02,5.848e+02
1.6,3.622e+01,2.490e+02,1.019e+02,3.872e+02
3.1,2.999e+01,4.304e+01,1.878e+01,9.181e+01
4.7,3.060e+01,4.975e+02,1.983e+01,5.479e+02
6.2,4.509e+01,1.798e+03,2.059e+01,1.863e+03
7.8,5.452e+01,1.661e+03,2.054e+01,1.737e+03
9.3,3.320e+01,2.072e+03,1.900e+01,2.124e+03
10.9,2.789e+01,3.228e+03,1.895e+01,3.274e+03
12.5,2.904e+01,4.634e+03,2.063e+01,4.683e+03
14.0,3.281e+01,6.347e+03,2.434e+01,6.404e+03
15.6,2.916e+01,8.352e+03,2.403e+01,8.405e+03
17.1,2.765e+01,1.072e+04,2.187e+01,1.077e+04
18.7,3.180e+01,1.350e+04,1.902e+01,1.355e+04
20.2,3.438e+01,1.670e+04,1.796e+01,1.676e+04
21.8,3.463e+01,2.091e+04,1.698e+01,2.096e+04
23.3,3.280e+01,2.614e+04,2.119e+01,2.620e+04
24.9,3.187e+01,3.313e+04,3.040e+01,3.320e+04
26.5,3.202e+01,4.238e+04,6.302e+01,4.247e+04
28.0,2.994e+01,5.501e+04,1.593e+02,5.520e+04
29.6,3.083e+01,7.386e+04,4.303e+02,7.432e+04
31.1,7.326e+01,1.027e+05,1.293e+03,1.040e+05
32.7,3.771e+02,1.479e+05,5.169e+03,1.534e+05
34.2,6.039e+02,1.992e+05,1.742e+04,2.172e+05
35.8,7.571e+02,1.934e+05,3.060e+04,2.247e+05
37.4,9.901e+02,1.234e+05,4.175e+04,1.662e+05
38.9,1.145e+03,1.011e+05,8.369e+04,1.859e+05
40.5,1.400e+03,1.059e+05,9.693e+04,2.042e+05
42.0,1.705e+03,1.318e+05,1.058e+05,2.394e+05
43.6,1.927e+03,1.640e+05,1.248e+05,2.907e+05
45.1,2.777e+03,2.227e+05,1.563e+05,3.818e+05
46.7,5.681e+03,3.940e+05,2.498e+05,6.495e+05
48.2,1.015e+04,7.510e+05,4.094e+05,1.171e+06
49.8,1.789e+04,1.205e+06,5.633e+05,1.786e+06
51.4,2.841e+04,1.338e+06,5.694e+05,1.936e+06
52.9,3.411e+04,1.161e+06,4.742e+05,1.669e+06
54.5,3.144e+04,9.307e+05,3.813e+05,1.343e+06
56.0,3.034e+04,7.283e+05,3.092e+05,1.068e+06
57.6,2.514e+04,5.927e+05,2.567e+05,8.745e+05
59.1,2.055e+04,4.566e+05,1.997e+05,6.769e+05
60.7,1.481e+04,3.517e+05,1.542e+05,5.207e+05
62.3,6.502e+03,2.875e+05,1.249e+05,4.190e+05
63.8,2.956e+03,2.352e+05,1.039e+05,3.421e+05
65.4,2.124e+03,1.977e+05,8.663e+04,2.864e+05
66.9,2.756e+03,1.743e+05,7.380e+04,2.508e+05
68.5,3.398e+03,1.544e+05,6.312e+04,2.209e+05
70.0,3.069e+03,1.322e+05,5.201e+04,1.873e+05
71.6,2.104e+03,1.080e+05,4.141e+04,1.516e+05
73.1,1.531e+03,9.002e+04,3.430e+04,1.259e+05
74.7,1.476e+03,7.591e+04,2.992e+04,1.073e+05
76.3,1.670e+03,6.494e+04,2.724e+04,9.385e+04
77.8,1.761e+03,5.800e+04,2.506e+04,8.482e+04
79.4,1.867e+03,5.623e+04,2.240e+04,8.050e+04
80.9,2.731e+03,6.816e+04,1.901e+04,8.990e+04
82.5,3.717e+03,9.473e+04,1.438e+04,1.128e+05
84.0,3.279e+03,1.125e+05,1.102e+04,1.268e+05
85.6,2.260e+03,1.071e+05,1.042e+04,1.198e+05
87.2,1.273e+03,8.800e+04,1.073e+04,1.000e+05
88.7,8.818e+02,7.387e+04,1.124e+04,8.599e+04
90.3,7.486e+02,6.766e+04,1.107e+04,7.948e+04
91.8,1.342e+03,7.276e+04,9.743e+03,8.385e+04
93.4,2.056e+03,7.799e+04,7.456e+03,8.750e+04
94.9,2.365e+03,7.444e+04,6.420e+03,8.323e+04
96.5,2.185e+03,6.355e+04,7.889e+03,7.362e+04
98.0,2.090e+03,4.902e+04,1.129e+04,6.241e+04
99.6,3.165e+03,4.211e+04,1.636e+04,6.163e+04
101.2,5.652e+03,4.983e+04,1.710e+04,7.259e+04
102.7,7.332e+03,5.722e+04,1.275e+04,7.730e+04
104.3,7.400e+03,4.920e+04,1.484e+04,7.144e+04
105.8,8.159e+03,4.188e+04,1.878e+04,6.882e+04
107.4,8.242e+03,4.433e+04,1.934e+04,7.190e+04
108.9,6.288e+03,5.578e+04,1.840e+04,8.047e+04
110.5,4.284e+03,6.399e+04,1.335e+04,8.162e+04
112.1,3.098e+03,5.574e+04,7.369e+03,6.620e+04
113.6,2.714e+03,5.375e+04,3.700e+03,6.017e+04
115.2,2.937e+03,6.258e+04,1.775e+03,6.729e+04
116.7,3.295e+03,6.323e+04,1.147e+03,6.767e+04
118.3,3.260e+03,5.923e+04,1.163e+03,6.365e+04
119.8,3.446e+03,5.425e+04,1.234e+03,5.893e+04
121.4,3.872e+03,4.855e+04,1.142e+03,5.356e+04
122.9,4.020e+03,5.321e+04,9.909e+02,5.822e+04
124.5,5.482e+03,5.624e+04,1.360e+03,6.309e+04
126.1,7.754e+03,5.346e+04,1.996e+03,6.321e+04
127.6,8.710e+03,4.812e+04,2.318e+03,5.914e+04
129.2,9.221e+03,4.291e+04,2.510e+03,5.464e+04
130.7,9.816e+03,3.820e+04,2.737e+03,5.076e+04
132.3,9.936e+03,2.832e+04,2.972e+03,4.123e+04
133.8,9.090e+03,9.218e+03,3.034e+03,2.134e+04
135.4,9.514e+03,3.799e+03,3.310e+03,1.662e+04
137.0,1.058e+04,3.488e+03,3.717e+03,1.778e+04
138.5,1.218e+04,2.675e+03,4.417e+03,1.927e+04
140.1,1.503e+04,2.216e+03,5.706e+03,2.295e+04
141.6,1.797e+04,2.372e+03,7.046e+03,2.739e+04
143.2,1.929e+04,2.727e+03,7.644e+03,2.966e+04
144.7,1.852e+04,3.308e+03,7.581e+03,2.941e+04
146.3,1.632e+04,4.012e+03,6.867e+03,2.719e+04
147.8,1.360e+04,4.103e+03,6.063e+03,2.376e+04
149.4,1.250e+04,4.017e+03,6.105e+03,2.263e+04
151.0,1.245e+04,4.246e+03,6.471e+03,2.317e+04
152.5,1.218e+04,4.494e+03,6.721e+03,2.339e+04
154.1,1.077e+04,4.640e+03,6.373e+03,2.179e+04
155.6,8.767e+03,3.904e+03,5.510e+03,1.818e+04
157.2,6.456e+03,2.728e+03,4.175e+03,1.336e+04
158.7,5.370e+03,1.862e+03,3.405e+03,1.064e+04
160.3,4.981e+03,1.362e+03,3.153e+03,9.497e+03
161.9,4.243e+03,1.618e+03,2.741e+03,8.603e+03
163.4,4.947e+03,3.311e+03,3.250e+03,1.151e+04
165.0,6.155e+03,4.897e+03,4.051e+03,1.510e+04
166.5,6.290e+03,5.783e+03,4.250e+03,1.632e+04
168.1,6.065e+03,6.444e+03,4.229e+03,1.674e+04
169.6,5.461e+03,6.576e+03,3.957e+03,1.599e+04
171.2,4.206e+03,5.892e+03,3.192e+03,1.329e+04
172.7,3.461e+03,5.115e+03,2.678e+03,1.125e+04
174.3,3.288e+03,4.741e+03,2.589e+03,1.062e+04
175.9,2.978e+03,4.485e+03,2.347e+03,9.810e+03
