freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.178e+01,3.707e+02,1.621e+02,5.446e+02
1.6,3.298e+01,2.355e+02,1.164e+02,3.848e+02
3.1,3.667e+01,4.429e+01,3.543e+01,1.164e+02
4.7,4.232e+01,5.296e+02,3.652e+01,6.084e+02
6.2,8.952e+01,1.581e+03,3.766e+01,1.708e+03
7.8,1.080e+02,1.503e+03,3.993e+01,1.651e+03
9.3,4.763e+01,2.201e+03,4.289e+01,2.291e+03
10.9,3.560e+01,3.340e+03,3.866e+01,3.414e+03
12.4,3.758e+01,4.810e+03,4.083e+01,4.888e+03
14.0,3.652e+01,6.588e+03,4.609e+01,6.670e+03
15.5,3.580e+01,8.609e+03,4.660e+01,8.692e+03
17.1,3.562e+01,1.101e+04,3.935e+01,1.109e+04
18.6,3.987e+01,1.396e+04,3.384e+01,1.404e+04
20.2,3.871e+01,1.742e+04,3.184e+01,1.749e+04
21.7,3.770e+01,2.192e+04,3.631e+01,2.199e+04
23.3,4.444e+01,2.768e+04,3.690e+01,2.777e+04
24.8,5.119e+01,3.539e+04,3.493e+01,3.547e+04
26.4,5.718e+01,4.595e+04,5.270e+01,4.606e+04
27.9,7.427e+01,6.084e+04,1.284e+02,6.104e+04
29.5,8.175e+01,8.122e+04,3.032e+02,8.161e+04
31.0,2.010e+02,1.080e+05,6.211e+02,1.089e+05
32.6,7.862e+02,1.490e+05,1.323e+03,1.511e+05
34.1,1.468e+03,2.047e+05,2.442e+03,2.087e+05
35.7,1.990e+03,1.998e+05,4.699e+03,2.065e+05
37.2,1.584e+03,1.431e+05,2.436e+04,1.690e+05
38.8,1.035e+03,1.436e+05,8.065e+04,2.253e+05
40.3,8.385e+02,1.467e+05,1.177e+05,2.652e+05
41.9,7.492e+02,1.526e+05,1.524e+05,3.058e+05
43.4,7.468e+02,1.611e+05,1.935e+05,3.553e+05
45.0,1.173e+03,2.297e+05,2.633e+05,4.942e+05
46.5,2.055e+03,4.055e+05,3.889e+05,7.964e+05
48.1,3.867e+03,7.336e+05,5.677e+05,1.305e+06
49.6,6.261e+03,1.125e+06,6.879e+05,1.819e+06
51.2,6.417e+03,1.160e+06,5.668e+05,1.733e+06
52.7,7.297e+03,9.269e+05,4.077e+05,1.342e+06
54.3,9.384e+03,7.114e+05,3.162e+05,1.037e+06
55.8,1.008e+04,5.557e+05,2.576e+05,8.234e+05
57.4,8.969e+03,4.567e+05,2.167e+05,6.823e+05
58.9,9.474e+03,3.539e+05,1.726e+05,5.360e+05
60.5,8.453e+03,2.781e+05,1.366e+05,4.232e+05
62.0,5.466e+03,2.459e+05,1.203e+05,3.717e+05
63.6,4.874e+03,2.167e+05,1.079e+05,3.294e+05
65.1,4.550e+03,1.838e+05,9.416e+04,2.825e+05
66.7,4.457e+03,1.574e+05,8.142e+04,2.433e+05
68.2,4.060e+03,1.347e+05,6.743e+04,2.061e+05
69.8,2.885e+03,1.109e+05,5.430e+04,1.681e+05
71.3,1.455e+03,8.672e+04,4.305e+04,1.312e+05
72.9,9.735e+02,6.966e+04,3.589e+04,1.065e+05
74.4,1.386e+03,5.757e+04,3.107e+04,9.002e+04
76.0,1.661e+03,4.801e+04,2.800e+04,7.768e+04
77.5,1.530e+03,4.063e+04,2.588e+04,6.804e+04
79.1,1.636e+03,4.070e+04,2.213e+04,6.447e+04
80.6,1.982e+03,5.184e+04,1.738e+04,7.120e+04
82.2,2.067e+03,7.253e+04,1.200e+04,8.659e+04
83.7,1.767e+03,8.916e+04,9.416e+03,1.003e+05
85.3,1.579e+03,8.483e+04,1.065e+04,9.706e+04
86.8,1.385e+03,6.694e+04,1.205e+04,8.038e+04
88.4,1.501e+03,5.468e+04,1.252e+04,6.870e+04
89.9,2.096e+03,5.462e+04,1.133e+04,6.804e+04
91.5,2.756e+03,6.209e+04,9.490e+03,7.434e+04
93.0,2.953e+03,6.907e+04,8.160e+03,8.018e+04
94.6,2.668e+03,6.727e+04,8.288e+03,7.823e+04
96.1,2.164e+03,5.783e+04,9.913e+03,6.991e+04
97.7,1.638e+03,4.531e+04,1.241e+04,5.935e+04
99.2,1.263e+03,3.531e+04,1.587e+04,5.244e+04
100.8,1.182e+03,4.142e+04,1.735e+04,5.995e+04
102.3,1.379e+03,5.375e+04,1.303e+04,6.817e+04
103.9,1.319e+03,4.381e+04,1.318e+04,5.831e+04
105.4,1.052e+03,3.401e+04,1.597e+04,5.104e+04
107.0,7.127e+02,3.705e+04,1.731e+04,5.507e+04
108.5,6.825e+02,5.162e+04,1.720e+04,6.950e+04
110.1,1.602e+03,6.014e+04,1.260e+04,7.435e+04
111.6,2.369e+03,6.986e+04,8.027e+03,8.025e+04
113.2,2.138e+03,7.868e+04,4.742e+03,8.556e+04
114.7,1.483e+03,8.171e+04,2.474e+03,8.567e+04
116.3,1.661e+03,8.114e+04,1.474e+03,8.428e+04
117.8,2.166e+03,7.540e+04,1.412e+03,7.897e+04
119.4,2.268e+03,6.862e+04,1.496e+03,7.239e+04
120.9,2.314e+03,6.558e+04,1.469e+03,6.936e+04
122.5,2.862e+03,6.491e+04,1.433e+03,6.921e+04
124.0,4.198e+03,6.291e+04,1.488e+03,6.859e+04
125.6,5.680e+03,6.834e+04,1.569e+03,7.559e+04
127.1,6.260e+03,7.425e+04,1.492e+03,8.200e+04
128.7,6.367e+03,7.638e+04,1.325e+03,8.407e+04
130.2,6.798e+03,7.585e+04,1.349e+03,8.399e+04
131.8,7.375e+03,6.748e+04,1.546e+03,7.640e+04
133.3,8.292e+03,3.395e+04,1.881e+03,4.412e+04
134.9,1.029e+04,8.399e+03,2.536e+03,2.123e+04
136.4,1.480e+04,5.430e+03,4.174e+03,2.440e+04
138.0,1.938e+04,3.823e+03,6.208e+03,2.941e+04
139.5,2.230e+04,2.689e+03,7.650e+03,3.264e+04
141.1,2.332e+04,2.470e+03,8.203e+03,3.399e+04
142.6,2.320e+04,2.919e+03,8.069e+03,3.419e+04
144.2,2.417e+04,3.874e+03,8.148e+03,3.619e+04
145.7,2.441e+04,5.604e+03,8.168e+03,3.818e+04
147.3,2.301e+04,7.259e+03,7.872e+03,3.814e+04
148.8,2.110e+04,8.975e+03,7.908e+03,3.798e+04
150.4,1.730e+04,9.933e+03,7.254e+03,3.449e+04
151.9,1.519e+04,9.074e+03,7.109e+03,3.138e+04
153.5,1.406e+04,7.913e+03,6.920e+03,2.889e+04
155.0,1.315e+04,6.399e+03,6.775e+03,2.632e+04
156.6,1.161e+04,4.345e+03,6.096e+03,2.206e+04
158.2,1.170e+04,3.317e+03,6.017e+03,2.103e+04
159.7,1.224e+04,3.057e+03,6.217e+03,2.151e+04
161.3,1.197e+04,3.526e+03,5.956e+03,2.145e+04
162.8,1.025e+04,4.170e+03,5.004e+03,1.942e+04
164.4,8.851e+03,4.705e+03,4.212e+03,1.777e+04
165.9,8.011e+03,5.566e+03,3.893e+03,1.747e+04
167.5,7.342e+03,6.084e+03,3.804e+03,1.723e+04
169.0,6.138e+03,5.591e+03,3.565e+03,1.529e+04
170.6,5.640e+03,4.436e+03,3.666e+03,1.374e+04
172.1,5.778e+03,3.700e+03,3.982e+03,1.346e+04
173.7,5.847e+03,3.480e+03,4.129e+03,1.346e+04
175.2,6.352e+03,3.624e+03,4.467e+03,1.444e+04
176.8,6.318e+03,3.711e+03,4.438e+03,1.447e+04
178.3,6.185e+03,4.026e+03,4.370e+03,1.458e+04
179.9,5.474e+03,4.069e+03,4.026e+03,1.357e+04
181.4,4.256e+03,3.534e+03,3.302e+03,1.109e+04
183.0,3.224e+03,3.197e+03,2.716e+03,9.137e+03
184.5,2.701e+03,3.228e+03,2.421e+03,8.351e+03
186.1,2.536e+03,3.574e+03,2.284e+03,8.394e+03
187.6,2.526e+03,4.051e+03,2.200e+03,8.777e+03
189.2,2.904e+03,4.452e+03,2.317e+03,9.673e+03
190.7,3.490e+03,4.929e+03,2.691e+03,1.111e+04
192.3,4.910e+03,5.663e+03,3.531e+03,1.410e+04
193.8,6.680e+03,6.574e+03,4.429e+03,1.768e+04
195.4,7.759e+03,7.338e+03,4.834e+03,1.993e+04
196.9,7.852e+03,7.360e+03,4.826e+03,2.004e+04
198.5,7.321e+03,7.302e+03,4.644e+03,1.927e+04
