freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.201e+01,4.345e+02,2.070e+02,6.535e+02
1.5,3.605e+01,2.515e+02,1.451e+02,4.327e+02
3.1,4.067e+01,4.496e+01,3.590e+01,1.215e+02
4.6,4.247e+01,5.181e+02,3.391e+01,5.945e+02
6.2,1.033e+02,1.615e+03,3.140e+01,1.750e+03
7.7,1.366e+02,1.555e+03,3.774e+01,1.729e+03
9.3,5.558e+01,2.169e+03,3.303e+01,2.257e+03
10.8,3.294e+01,3.291e+03,3.398e+01,3.358e+03
12.4,3.348e+01,4.724e+03,3.782e+01,4.796e+03
13.9,3.934e+01,6.457e+03,4.276e+01,6.539e+03
15.5,3.558e+01,8.546e+03,4.684e+01,8.628e+03
17.0,3.839e+01,1.098e+04,4.629e+01,1.106e+04
18.6,4.231e+01,1.387e+04,4.044e+01,1.395e+04
20.1,4.264e+01,1.722e+04,3.483e+01,1.730e+04
21.7,4.251e+01,2.166e+04,3.892e+01,2.174e+04
23.2,4.692e+01,2.739e+04,3.411e+01,2.747e+04
24.8,4.629e+01,3.486e+04,3.993e+01,3.494e+04
26.3,4.646e+01,4.487e+04,6.166e+01,4.498e+04
27.9,5.321e+01,5.882e+04,1.205e+02,5.899e+04
29.4,5.507e+01,7.872e+04,2.822e+02,7.905e+04
31.0,1.642e+02,1.061e+05,7.142e+02,1.070e+05
32.5,7.174e+02,1.469e+05,1.886e+03,1.495e+05
34.1,1.457e+03,2.029e+05,4.214e+03,2.086e+05
35.6,1.995e+03,1.978e+05,7.971e+03,2.078e+05
37.2,1.643e+03,1.352e+05,3.163e+04,1.685e+05
38.7,1.331e+03,1.235e+05,9.220e+04,2.171e+05
40.3,1.209e+03,1.198e+05,1.184e+05,2.394e+05
41.8,1.305e+03,1.230e+05,1.487e+05,2.730e+05
43.4,1.406e+03,1.309e+05,1.903e+05,3.227e+05
44.9,2.064e+03,1.797e+05,2.457e+05,4.275e+05
46.5,3.411e+03,3.098e+05,3.460e+05,6.593e+05
48.0,4.809e+03,5.895e+05,5.067e+05,1.101e+06
49.6,7.366e+03,1.079e+06,7.146e+05,1.801e+06
51.1,1.014e+04,1.461e+06,7.953e+05,2.267e+06
52.7,1.201e+04,1.364e+06,6.524e+05,2.028e+06
54.2,1.369e+04,9.997e+05,4.523e+05,1.466e+06
55.8,1.528e+04,7.050e+05,3.275e+05,1.048e+06
57.3,1.340e+04,5.480e+05,2.616e+05,8.229e+05
58.9,1.288e+04,4.129e+05,2.003e+05,6.261e+05
60.4,1.136e+04,3.074e+05,1.515e+05,4.703e+05
62.0,6.427e+03,2.519e+05,1.254e+05,3.837e+05
63.5,3.573e+03,2.157e+05,1.097e+05,3.290e+05
65.1,3.001e+03,1.842e+05,9.452e+04,2.818e+05
66.6,3.485e+03,1.578e+05,7.986e+04,2.411e+05
68.2,3.627e+03,1.362e+05,6.691e+04,2.067e+05
69.7,2.878e+03,1.146e+05,5.520e+04,1.727e+05
71.3,1.976e+03,9.276e+04,4.508e+04,1.398e+05
72.8,1.285e+03,7.529e+04,3.758e+04,1.142e+05
74.4,1.547e+03,6.394e+04,3.307e+04,9.856e+04
75.9,1.960e+03,5.531e+04,3.155e+04,8.882e+04
77.5,1.986e+03,4.884e+04,3.069e+04,8.152e+04
79.0,2.021e+03,4.619e+04,2.640e+04,7.461e+04
80.6,2.709e+03,5.070e+04,2.124e+04,7.465e+04
82.1,3.176e+03,6.414e+04,1.610e+04,8.341e+04
83.7,2.555e+03,8.326e+04,1.250e+04,9.831e+04
85.2,1.579e+03,8.613e+04,1.207e+04,9.978e+04
86.8,8.775e+02,7.226e+04,1.281e+04,8.595e+04
88.3,8.691e+02,6.130e+04,1.309e+04,7.526e+04
89.9,1.417e+03,6.072e+04,1.201e+04,7.415e+04
91.4,2.232e+03,6.593e+04,1.050e+04,7.866e+04
93.0,3.158e+03,7.069e+04,9.287e+03,8.314e+04
94.5,3.264e+03,6.930e+04,9.209e+03,8.177e+04
96.1,2.296e+03,5.970e+04,1.109e+04,7.308e+04
97.6,1.350e+03,4.468e+04,1.442e+04,6.045e+04
99.2,1.421e+03,3.472e+04,1.775e+04,5.389e+04
100.7,2.394e+03,3.841e+04,1.824e+04,5.905e+04
102.3,2.622e+03,4.748e+04,1.387e+04,6.397e+04
103.8,2.763e+03,4.208e+04,1.457e+04,5.942e+04
105.4,3.682e+03,3.601e+04,1.857e+04,5.826e+04
106.9,4.751e+03,3.592e+04,1.992e+04,6.059e+04
108.5,4.621e+03,4.086e+04,2.028e+04,6.576e+04
110.0,3.495e+03,5.052e+04,1.777e+04,7.179e+04
111.6,2.356e+03,5.668e+04,1.248e+04,7.152e+04
113.1,1.816e+03,5.749e+04,7.241e+03,6.654e+04
114.7,1.642e+03,6.018e+04,3.928e+03,6.575e+04
