freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.644e+02,5.846e+01,3.769e+01,5.605e+02
1.6,3.351e+02,9.055e+01,8.760e+01,5.132e+02
3.1,9.997e+01,7.170e+01,8.628e+01,2.579e+02
4.7,4.320e+02,1.041e+02,1.046e+02,6.407e+02
6.2,1.428e+03,1.289e+02,9.559e+01,1.653e+03
7.8,1.943e+03,1.076e+02,1.027e+02,2.153e+03
9.3,2.505e+03,1.090e+02,1.144e+02,2.728e+03
10.9,3.632e+03,1.014e+02,1.003e+02,3.833e+03
12.4,4.895e+03,1.008e+02,9.850e+01,5.095e+03
14.0,5.956e+03,1.062e+02,8.762e+01,6.150e+03
15.5,7.499e+03,9.878e+01,1.003e+02,7.698e+03
17.1,9.577e+03,9.609e+01,9.943e+01,9.773e+03
18.6,1.215e+04,8.391e+01,9.866e+01,1.233e+04
20.2,1.488e+04,9.313e+01,1.022e+02,1.507e+04
21.7,1.774e+04,1.003e+02,9.084e+01,1.793e+04
23.3,2.102e+04,8.829e+01,8.323e+01,2.119e+04
24.8,2.522e+04,9.736e+01,8.812e+01,2.540e+04
26.4,3.044e+04,1.131e+02,8.414e+01,3.064e+04
27.9,3.820e+04,1.449e+02,9.146e+01,3.844e+04
29.5,5.009e+04,2.462e+02,1.104e+02,5.045e+04
31.0,5.378e+04,3.231e+02,1.098e+02,5.421e+04
32.6,4.448e+04,3.064e+02,9.387e+01,4.488e+04
34.1,4.233e+04,3.512e+02,9.162e+01,4.278e+04
35.7,5.066e+04,5.811e+02,1.279e+02,5.137e+04
37.2,6.316e+04,8.666e+02,2.045e+02,6.423e+04
38.8,7.907e+04,1.002e+03,2.773e+02,8.035e+04
40.3,1.029e+05,1.527e+03,3.326e+02,1.048e+05
41.9,1.368e+05,2.558e+03,5.501e+02,1.399e+05
43.4,1.787e+05,4.036e+03,1.306e+03,1.841e+05
45.0,2.206e+05,5.523e+03,3.257e+03,2.293e+05
46.5,2.998e+05,9.338e+03,6.761e+03,3.159e+05
48.1,4.216e+05,1.614e+04,1.243e+04,4.502e+05
49.6,6.082e+05,2.839e+04,1.991e+04,6.565e+05
51.2,8.804e+05,5.097e+04,2.809e+04,9.594e+05
52.7,1.288e+06,8.272e+04,3.179e+04,1.403e+06
54.3,1.652e+06,1.178e+05,3.088e+04,1.801e+06
55.9,1.550e+06,1.207e+05,3.021e+04,1.701e+06
57.4,1.300e+06,9.982e+04,2.560e+04,1.426e+06
59.0,1.030e+06,7.898e+04,1.893e+04,1.128e+06
60.5,6.540e+05,5.824e+04,1.457e+04,7.268e+05
62.1,3.966e+05,5.061e+04,1.417e+04,4.613e+05
63.6,2.647e+05,4.782e+04,1.676e+04,3.293e+05
65.2,2.415e+05,4.676e+04,1.827e+04,3.066e+05
66.7,2.615e+05,4.856e+04,1.881e+04,3.289e+05
68.3,2.498e+05,4.766e+04,1.775e+04,3.152e+05
69.8,2.169e+05,4.643e+04,1.680e+04,2.801e+05
71.4,1.801e+05,4.369e+04,1.521e+04,2.390e+05
72.9,1.538e+05,4.253e+04,1.365e+04,2.100e+05
74.5,1.297e+05,4.140e+04,1.239e+04,1.835e+05
76.0,1.085e+05,3.886e+04,1.167e+04,1.590e+05
77.6,9.139e+04,3.260e+04,9.664e+03,1.337e+05
79.1,8.606e+04,3.562e+04,7.961e+03,1.296e+05
